t,x,y,z,w
50.850000,-6.386566,16.089974,8.506364,7.551312
51.000000,-5.106784,17.212094,8.555280,7.409565
51.150000,-3.820601,18.312659,8.591829,7.264130
51.300000,-2.529817,19.391212,8.616741,7.116250
51.450000,-1.236118,20.447464,8.630860,6.966946
51.600000,0.058945,21.481265,8.635075,6.817030
51.750000,1.353953,22.492574,8.630264,6.667128
51.900000,2.647615,23.481428,8.617264,6.517710
52.050000,3.938762,24.447928,8.596849,6.369119
52.200000,5.226335,25.392218,8.569726,6.221604
52.350000,6.509376,26.314472,8.536529,6.075333
52.500000,7.787018,27.214886,8.497828,5.930420
52.650000,9.058475,28.093669,8.454127,5.786935
52.800000,10.323029,28.951039,8.405874,5.644914
52.950000,11.580029,29.787217,8.353467,5.504372
53.100000,12.828879,30.602425,8.297257,5.365307
53.250000,14.069032,31.396882,8.237558,5.227703
53.400000,15.299986,32.170808,8.174646,5.091537
53.550000,16.521278,32.924414,8.108769,4.956780
53.700000,17.732479,33.657910,8.040148,4.823399
53.850000,18.933195,34.371501,7.968980,4.691359
54.000000,20.123055,35.065383,7.895443,4.560624
54.150000,21.301717,35.739751,7.819695,4.431157
54.300000,22.468860,36.394792,7.741880,4.302922
54.450000,23.624184,37.030688,7.662128,4.175882
54.600000,24.767408,37.647615,7.580555,4.050003
54.750000,25.898265,38.245745,7.497269,3.925251
54.900000,27.016507,38.825245,7.412366,3.801593
55.050000,28.121899,39.386276,7.325935,3.678999
55.200000,29.214216,39.928996,7.238056,3.557437
55.350000,30.293247,40.453557,7.148805,3.436881
55.500000,31.358792,40.960109,7.058248,3.317302
55.650000,32.410659,41.448795,6.966448,3.198673
55.800000,33.448667,41.919757,6.873463,3.080972
55.950000,34.472641,42.373132,6.779346,2.964174
56.100000,35.482416,42.809053,6.684147,2.848256
56.250000,36.477833,43.227652,6.587910,2.733198
56.400000,37.458740,43.629055,6.490678,2.618979
56.550000,38.424989,44.013387,6.392491,2.505581
56.700000,39.376441,44.380769,6.293385,2.392985
56.850000,40.312960,44.731322,6.193394,2.281175
57.000000,41.234417,45.065160,6.092549,2.170133
57.150000,42.140684,45.382399,5.990882,2.059844
57.300000,43.031641,45.683150,5.888418,1.950295
57.450000,43.907171,45.967524,5.785185,1.841470
57.600000,44.767160,46.235627,5.681206,1.733357
57.750000,45.611497,46.487566,5.576506,1.625943
57.900000,46.440076,46.723444,5.471104,1.519217
58.050000,47.252794,46.943365,5.365022,1.413168
58.200000,48.049550,47.147428,5.258278,1.307784
58.350000,48.830245,47.335733,5.150891,1.203057
58.500000,49.594785,47.508377,5.042877,1.098976
58.650000,50.343078,47.665457,4.934252,0.995532
58.800000,51.075031,47.807068,4.825031,0.892717
58.950000,51.790558,47.933304,4.715229,0.790524
59.100000,52.489572,48.044256,4.604859,0.688945
59.250000,53.171988,48.140017,4.493934,0.587972
59.400000,53.837725,48.220678,4.382465,0.487599
59.550000,54.486701,48.286327,4.270465,0.387820
59.700000,55.118838,48.337053,4.157944,0.288629
59.850000,55.734059,48.372945,4.044911,0.190020
60.000000,56.332286,48.394088,3.931378,0.091989
60.150000,56.913447,48.400570,3.817352,-0.005469
60.300000,57.477468,48.392476,3.702843,-0.102359
60.450000,58.024277,48.369890,3.587860,-0.198685
60.600000,58.553802,48.332898,3.472408,-0.294450
60.750000,59.065976,48.281583,3.356497,-0.389659
60.900000,59.560729,48.216028,3.240133,-0.484313
61.050000,60.037994,48.136317,3.123323,-0.578416
61.200000,60.497704,48.042531,3.006073,-0.671970
61.350000,60.939794,47.934753,2.888390,-0.764978
61.500000,61.364200,47.813065,2.770278,-0.857441
61.650000,61.770856,47.677548,2.651743,-0.949362
61.800000,62.159701,47.528283,2.532790,-1.040741
61.950000,62.530672,47.365352,2.413424,-1.131580
62.100000,62.883708,47.188836,2.293649,-1.221880
62.250000,63.218747,46.998815,2.173470,-1.311640
62.400000,63.535729,46.795371,2.052891,-1.400863
62.550000,63.834594,46.578584,1.931915,-1.489546
62.700000,64.115284,46.348534,1.810546,-1.577691
62.850000,64.377739,46.105303,1.688787,-1.665297
63.000000,64.621900,45.848972,1.566641,-1.752363
63.150000,64.847712,45.579622,1.444112,-1.838887
63.300000,65.055115,45.297333,1.321202,-1.924870
63.450000,65.244053,45.002188,1.197913,-2.010309
63.600000,65.414470,44.694268,1.074247,-2.095202
63.750000,65.566309,44.373655,0.950208,-2.179547
63.900000,65.699514,44.040431,0.825796,-2.263342
64.050000,65.814029,43.694680,0.701013,-2.346584
64.200000,65.909799,43.336484,0.575861,-2.429270
64.350000,65.986769,42.965927,0.450342,-2.511397
