A,B,x
-27,21,0.7614276140948127
-27,22,0.7961260041256792
-27,23,0.8306265596795377
-27,24,0.864924272029654
-27,25,0.8990145218758343
-27,26,0.9328930728760959
-27,27,0.9665560638782568
-27,28,1.0
-27,29,1.0332217427040993
-26,-30,-1.1023281168059185
-26,-29,-1.0684694759636748
-26,-28,-1.034359233318169
-26,-27,-1.0
-26,-26,-0.965394788915577
-26,-25,-0.9305470302171718
-26,-24,-0.8954605858805121
-26,-23,-0.860139763193339
-26,-22,-0.8245893269495953
-26,-21,-0.7888145101373314
-26,-20,-0.7528210229044445
-26,-19,-0.7166150595854636
-26,-18,-0.6802033035751598
-26,-17,-0.6435929298412066
-26,-16,-0.6067916048787607
-26,-15,-0.5698074839249506
-26,-14,-0.5326492052710156
-26,-13,-0.49532588153428453
-26,-12,-0.4578470877812488
-26,-11,-0.42022284642645336
-26,-10,-0.3824636088694209
-26,-9,-0.3445802338728116
-26,-8,-0.306583962728815
-26,-7,-0.2684863913065316
-26,-6,-0.23029943911987746
-26,-5,-0.1920353156022496
-26,-4,-0.15370648381970672
-26,-3,-0.11532562189755653
-26,-2,-0.07690558247484897
-26,-1,-0.038459350536239244
-26,0,0.0
-26,1,0.038459350536239244
-26,2,0.07690558247484897
-26,3,0.11532562189755653
-26,4,0.15370648381970672
-26,5,0.1920353156022496
-26,6,0.23029943911987746
-26,7,0.2684863913065316
-26,8,0.306583962728815
-26,9,0.3445802338728116
-26,10,0.3824636088694209
-26,11,0.42022284642645336
-26,12,0.4578470877812488
-26,13,0.49532588153428453
-26,14,0.5326492052710156
-26,15,0.5698074839249506
-26,16,0.6067916048787607
-26,17,0.6435929298412066
-26,18,0.6802033035751598
-26,19,0.7166150595854636
-26,20,0.7528210229044445
-26,21,0.7888145101373314
-26,22,0.8245893269495953
-26,23,0.860139763193339
-26,24,0.8954605858805121
-26,25,0.9305470302171718
-26,26,0.965394788915577
-26,27,1.0
-26,28,1.034359233318169
-26,29,1.0684694759636748
-25,-30,-1.1406385941649828
-25,-29,-1.1058988810794432
-25,-28,-1.0708776082390248
-25,-27,-1.035577063811596
-25,-26,-1.0
-25,-25,-0.9641496548145647
-25,-24,-0.9280297730158953
-25,-23,-0.8916446259629736
-25,-22,-0.8549990300838572
-25,-21,-0.8180983636710595
-25,-20,-0.7809485816917507
-25,-19,-0.7435562282950265
-25,-18,-0.70592844669541
-25,-17,-0.6680729861142717
-25,-16,-0.6299982054696481
-25,-15,-0.5917130735206478
-25,-14,-0.5532271651957271
-25,-13,-0.5145506538649122
-25,-12,-0.47569429935464463
-25,-11,-0.43666943155019267
-25,-10,-0.39748792948408496
-25,-9,-0.35816219586909515
-25,-8,-0.3187051270999207
-25,-7,-0.2791300788175849
-25,-6,-0.2394508272031827
-25,-5,-0.19968152624112182
-25,-4,-0.15983666126452248
-25,-3,-0.11993099916489613
-25,-2,-0.07997953571255274
-25,-1,-0.039997440491394205
-25,0,0.0
-25,1,0.039997440491394205
-25,2,0.07997953571255274
-25,3,0.11993099916489613
-25,4,0.15983666126452248
-25,5,0.19968152624112182
-25,6,0.2394508272031827
-25,7,0.2791300788175849
-25,8,0.3187051270999207
-25,9,0.35816219586909515
-25,10,0.39748792948408496
-25,11,0.43666943155019267
-25,12,0.47569429935464463
-25,13,0.5145506538649122
-25,14,0.5532271651957271
-25,15,0.5917130735206478
-25,16,0.6299982054696481
-25,17,0.6680729861142717
-25,18,0.70592844669541
-25,19,0.7435562282950265
-25,20,0.7809485816917507
-25,21,0.8180983636710595
-25,22,0.8549990300838572
-25,23,0.8916446259629736
-25,24,0.9280297730158953
-25,25,0.9641496548145647
-25,26,1.0
-25,27,1.035577063811596
-25,28,1.0708776082390248
-25,29,1.1058988810794432
-24,-30,-1.1813117664762305
-24,-29,-1.1456757153052712
-24,-28,-1.1097244667053718
-24,-27,-1.0734597985115593
-24,-26,-1.0368840195975901
-24,-25,-1.0
-24,-24,-0.9628112004416806
-24,-23,-0.9253217009067821
-24,-22,-0.8875362278861529
-24,-21,-0.8494601798823969
-24,-20,-0.8110996507371345
-24,-19,-0.7724614503214927
-24,-18,-0.7335531221156097
-24,-17,-0.6943829571954279
-24,-16,-0.6549600041466526
-24,-15,-0.6152940744377791
-24,-14,-0.5753957428076798
-24,-13,-0.535276342259312
-24,-12,-0.49494795330022184
-24,-11,-0.454423387132903
-24,-10,-0.41371616257339505
-24,-9,-0.3728404765640178
-24,-8,-0.3318111682444254
-24,-7,-0.29064367665232704
-24,-6,-0.2493539922387628
-24,-5,-0.20795860249979317
-24,-4,-0.16647443214350063
-24,-3,-0.12491877832469606
-24,-2,-0.08330924158594213
-24,-1,-0.04166365323878495
-24,0,0.0
-24,1,0.04166365323878495
-24,2,0.08330924158594213
-24,3,0.12491877832469606
-24,4,0.16647443214350063
-24,5,0.20795860249979317
-24,6,0.2493539922387628
-24,7,0.29064367665232704
-24,8,0.3318111682444254
-24,9,0.3728404765640178
-24,10,0.41371616257339505
-24,11,0.454423387132903
-24,12,0.49494795330022184
-24,13,0.535276342259312
-24,14,0.5753957428076798
-24,15,0.6152940744377791
-24,16,0.6549600041466526
-24,17,0.6943829571954279
-24,18,0.7335531221156097
-24,19,0.7724614503214927
-24,20,0.8110996507371345
-24,21,0.8494601798823969
-24,22,0.8875362278861529
-24,23,0.9253217009067821
-24,24,0.9628112004416806
-24,25,1.0
-24,26,1.0368840195975901
-24,27,1.0734597985115593
-24,28,1.1097244667053718
-24,29,1.1456757153052712
-23,-30,-1.224517615433806
-23,-29,-1.187975153359582
-23,-28,-1.1510798544820664
-23,-27,-1.1138327418517444
-23,-26,-1.076235438666967
-23,-25,-1.0382902092619928
-23,-24,-1.0
-23,-23,-0.9613684796294204
-23,-22,-0.9224000786059569
-23,-21,-0.8831000268279326
-23,-20,-0.8434743891809973
-23,-19,-0.8035300982417624
-23,-18,-0.7632749834509741
-23,-17,-0.7227177960378321
-23,-16,-0.6818682289606548
-23,-15,-0.6407369311278405
-23,-14,-0.5993355151794543
-23,-13,-0.5576765581459677
-23,-12,-0.5157735943584086
-23,-11,-0.47364110006457705
